establecimiento_nombre,provincia_nombre,establecimiento_id,localidad_nombre,departamento_nombre,cp
SERVICIO MEDICO SALTA SRL,SALTA,50660282373502,SALTA,CAPITAL,4400
SINDICATO DE EMPLEADOS DE COMERCIO,SALTA,50660282373505,SALTA,CAPITAL,4400
SOCIEDAD DE LA ESTRELLA,SALTA,52660282373535,SALTA,CAPITAL,4400
CENTRO DE SALUD BARRIO  PINEDO VIEJO,CHACO,50220362126134,GENERAL PINEDO,12 DE OCTUBRE,3732
CENTRO DE SALUD BARRIO  ATALAYA,CHACO,50220362126133,GENERAL PINEDO,12 DE OCTUBRE,3732
HOSPITAL DR. NICOLAS LOZANO,SALTA,10660352173046,LA MERCED,CERRILLOS ,4421
CENTRO DE SALUD MARGARITA BELEN,CHACO,50221262126367,MARGARITA BELEN,1º DE MAYO,3505
CENTRO DE SALUD ISLA DEL CERRITO,CHACO,50220142126273,ISLA DEL CERRITO,BERMEJO,3518
CENTRO DE SALUD ITIN,CHACO,50220392126275,HERMOSO CAMPO,2 DE ABRIL,3733
EMERGENCIAS SAT - SERVICIO DE ATENCION MEDICA Y TRASLADOS,SANTA FE,53821192385955,CAPITAN BERMUDEZ,SAN LORENZO,2154
CENTRO INTEGRAL CITEM - CENTRO INTEGRAL DE TECNOLOGIAS ESPECIALES,SANTA FE,50820842885049,ROSARIO,ROSARIO,2000
CENTRO DE SALUD LAS PIEDRITAS,CHACO,50221052126320,LAS BREÑAS,9 DE JULIO,3722
CENTRO DE SALUD VILLA GENERAL BELGRANO,CHACO,50221402126477,RESISTENCIA,SAN FERNANDO,3500
CENTRO DERMATOLOGICO DR. MANUEL M. GIMENEZ,CHACO,50221402126494,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD LAS TOLDERIAS,CHACO,50220282126321,CHARATA,CHACABUCO,3730
CENTRO DE SALUD EL PALMAR CENTRAL,CHACO,50220362126234,GENERAL PINEDO,12 DE OCTUBRE,3732
HOSPITAL REGIONAL MALARGUE.-,MENDOZA,10500772157032,MALARGUE,MALARGÜE,5613
HOSPITAL UNION,SAN LUIS,10740422180025,UNION,GOBERNADOR DUPUY,6216
CLINICA SAN AGUSTIN,NEUQUÉN,10580352367005,NEUQUEN,CONFLUENCIA,8300
CLINICA PASTEUR SA,NEUQUÉN,10580352367004,NEUQUEN,CONFLUENCIA,8300
CLINICA SAN LUCAS,NEUQUÉN,12580352367039,NEUQUEN,CONFLUENCIA,8300
CONSULTORIOS MEDICOS CEGIN - CEFER,NEUQUÉN,50580352367159,NEUQUEN,CONFLUENCIA,8300
MEDRO  MEDICINA LABORAL,NEUQUÉN,51580352367190,NEUQUEN,CONFLUENCIA,8300
CENTRO DE MEDICINA FAMILIAR A.M.E.N.,NEUQUÉN,50580352367157,NEUQUEN,CONFLUENCIA,8300
MARIA AUXILIADORA SERVICIO DE TRASLADOS PROGRAMADOS BAJO RIESGO,SALTA,53660562373544,EMBARCACION,GRL. JOSÉ DE SAN MARTÍN,4550
CENTRO DE SALUD BARRIO SAN ANTONIO,CHACO,50220632126157,JUAN JOSE CASTELLI,GENERAL GÜEMES,3705
CENTRO DE SALUD BARRIO SARMIENTO,CHACO,50220632126129,JUAN JOSE CASTELLI,GENERAL GÜEMES,3705
HOSPITAL PRESBITERO OLMOS,SALTA,10661192173060,SECLANTAS,MOLINOS,4419
CAPS ALTO JAGUE,LA RIOJA,50460982155055,JAGÜÉ (ALTO JAGÜÉ),VINCHINA,5359
DISPENSARIO IGNACIO MINOLDO,CÓRDOBA,50140912231512,CABALANGO,PUNILLA,5155
DISPENSARIO MUNICIPALIDAD DE ALTOS DE CHIPION,CÓRDOBA,50141402231550,ALTOS DE CHIPION,SAN JUSTO,2417
SANATORIO RIOJA S.A.,LA RIOJA,10460142355040,LA RIOJA,CAPITAL,5300
CENTRO DE SALUD AREA 12,CHUBUT,50260772129085,RAWSON,RAWSON,9103
CENTRO DE SALUD AREA 16 - MALVINAS ARGENTINAS,CHUBUT,50260772129086,RAWSON,RAWSON,9103
CENTRO DE SALUD ARISTARAIN,CHUBUT,50260072129087,PUERTO MADRYN,BIEDMA,9120
CENTRO DE SALUD JORGE MORADO,CHUBUT,50260772129111,TRELEW,RAWSON,9100
CENTRO DE SALUD BELLA VISTA,CHUBUT,50260352129089,ESQUEL,FUTALEUFÚ,9200
RESIDENCIA GERIATRICA MODELO,BUENOS AIRES,15060582305233,QUILMES,QUILMES,1878
CENTRO DERMATOLOGICO SCHJTMAN,BUENOS AIRES,50067602303510,SAN MIGUEL,SAN MIGUEL,1663
MAS VIDA EMERGENCIAS,BUENOS AIRES,53067492303512,SAN FERNANDO,SAN FERNANDO,1646
LABORATORIO ANALISIS CLINICOS MARIA VICENTE,LA PAMPA,51421192353442,QUEMU QUEMU,QUEMÚ QUEMÚ,6360
CENTRO MEDICO GEMA,CABA,50020012315911,RECOLETA,COMUNA 2,C1425BGN
CENTRO DE DIAGNOSTICO MEDICO DIAGNOSIS,LA PAMPA,50420212353466,SANTA ROSA,CAPITAL,6300
CENTRO DE SALUD ENRIQUE FINOCHIETTO,CHACO,50221402126253,PUERTO VILELAS,SAN FERNANDO,3503
CENTRO DE SALUD JUAN DE GARAY EL TALA,CHACO,50221402126278,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD BARRIO TOBA,CHACO,50221402126163,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD VILLA BARBERAN,CHACO,50221402126470,RESISTENCIA,SAN FERNANDO,3500
HOSPITAL GUACHIPAS,SALTA,10660632173056,GUACHIPAS,GUACHIPAS,4425
CAPS VILLA DE LA QUEBRADA,SAN LUIS,50740142180165,VILLA DE LA QUEBRADA,BELGRANO,5703
CENTRO MEDICO GRANDOLI - CEMEG -,SANTA FE,50820842385056,ROSARIO,ROSARIO,2000
HOSPITAL DR. RAMON CARRILLO,SALTA,10660702173047,IRUYA,IRUYA,4633
CENTRO DE REFERENCIA DR. PEDRO BIOLCHI,CHACO,50221402126123,BARRANQUERAS,SAN FERNANDO,3503
EMERGENCIAS URGENCIAS DEL LITORAL S.A,SANTA FE,53821192385958,SAN LORENZO,SAN LORENZO,2200
EMERGENCIAS AMBULANCIA ACUARIO SERVICIO DE TRASLADOS URBANOS,SANTA FE,53821192385937,SAN LORENZO,SAN LORENZO,2200
CENTRO DE SALUD COLONIA JACARANDA,CHACO,50220392126185,HERMOSO CAMPO,2 DE ABRIL,3733
HOSPITAL RURAL CORCOVADO,CHUBUT,10260352129015,CORCOVADO,FUTALEUFÚ,9201
PUESTO SANITARIO LAGO ROSARIO,CHUBUT,50260352129227,LAGO ROSARIO,FUTALEUFÚ,9203
PUESTO SANITARIO LOS CIPRESES,CHUBUT,50260352129233,TREVELIN,FUTALEUFÚ,9203
SERVICIO INTEGRAL MED. Y LAB. SIMLE.R,TUCUMÁN,50900842396555,SAN MIGUEL DE TUCUMAN,CAPITAL,4000
ADVANCE SERVICIOS INTEGRADOS SRL CLINICA DE LA VISION,SAN LUIS,50740352380042,VILLA MERCEDES,GENERAL PEDERNERA,5730
HTAL PICUN LEUFU - DRA NANCY FERRARI DIBY,NEUQUÉN,10580982167009,PICUN LEUFU,PICÚN LEUFÚ,8313
HTAL MARIANO MORENO - DR CARLOS BURDES,NEUQUÉN,10581132167023,MARIANO MORENO  (MARIANO MORENO),ZAPALA ,8351
HTAL ZAPALA - DR JUAN J POSE,NEUQUÉN,10581122167032,ZAPALA,ZAPALA ,8340
HTAL LAS LAJAS - DR JOSE VENIER,NEUQUÉN,10581052167020,LAS LAJAS,PICUNCHES,8347
CLINICA Y MATERNIDAD RINCON,NEUQUÉN,12580912367040,RINCON DE LOS SAUCES,PEHUENCHES,8319
CENTRO DE DIALISIS FRESENIUS,NEUQUÉN,52580562367225,SAN MARTIN DE LOS ANDES,LÁCAR,8316
CENTRO DE SALUD DON BOSCO,CHUBUT,50260212229094,BARRIO CALETA OLIVARES,ESCALANTE,9100
CENTRO DE SALUD DR RENE FAVALORO,CHUBUT,50260212229097,RADA TILLY,ESCALANTE,9009
CENTRO DE SALUD DR.  ROBERTO MIAS,CHUBUT,50260212129096,BARRIO CIUDADELA,ESCALANTE,9213
CENTRO DE SALUD ETCHEPARE TRELEW,CHUBUT,50260772129098,TRELEW,RAWSON,9100
CENTRO DE SALUD GOBERNADOR FONTANA,CHUBUT,50260072129100,PUERTO MADRYN,BIEDMA,9120
CENTRO DE SALUD PABLO FERMIN,CHUBUT,50260772129102,RAWSON,RAWSON,9103
CENTRO DE SALUD GUEMES,CHUBUT,50260072129103,PUERTO MADRYN,BIEDMA,9120
CENTRO DE SALUD GUENDA WILLIAMS,CHUBUT,50260772129104,TRELEW,RAWSON,9100
CENTRO DE SALUD INGENIERO FRANZETTI,CHUBUT,50260772129106,TRELEW,RAWSON,9100
PUESTO SANITARIO COLONIA LAMADRID,SANTIAGO DEL ESTERO,50860772192549,AÑATUYA,GENERAL TABOADA,3760
CEM CENTRO DE EMERGENCIAS MEDICAS BASE RAMALLO,BUENOS AIRES,53066652303266,RAMALLO,RAMALLO,2915
SEMEDIC SRL CONSULTORIOS MEDICOS,BUENOS AIRES,50063712303396,CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTÍN,1650
CENTRO DE ATENCION EN SALUD MENTAL,BUENOS AIRES,50068612303603,MUNRO,VICENTE LÓPEZ,1605
HOSPITAL DR. RAMON CARRILLO,BUENOS AIRES,10067492200216,SAN FERNANDO,SAN FERNANDO,1646
HOSPITAL DR. A. FERNANDEZ,SALTA,10661192173022,MOLINOS,MOLINOS,4419
PUESTO TIMON CRUZ (21),JUJUY,50380772150257,SANTA CATALINA,SANTA CATALINA,4655
PUESTO BARRIOS (21),JUJUY,50381122150074,BARRIOS,YAVI,4650
CENTRO DE SALUD ABEL OTAÑO,CHACO,50220982126126,VILLA ANGELA,MAYOR LUIS J. FONTANA,3540
CENTRO DE SALUD BARRIO LIBERTAD,CHACO,50220282126148,CHARATA,CHACABUCO,3730
PUESTO LLULLUCHAYOC (21),JUJUY,50381122150175,YAVI (YAVI),YAVI,4651
HOSPITAL DE SANTA ROSA,SAN LUIS,10740492180012,SANTA ROSA DEL CONLARA,JUNÍN,6277
HOSPITAL SAN FRANCISCO,SAN LUIS,10740072180021,SAN FRANCISCO DEL MONTE DE ORO,AYACUCHO,5705
EUROSALUD,MISIONES,50540282365669,POSADAS (MUNICIPIO DE POSADAS),CAPITAL,3300
CAPS BAGUAL,SAN LUIS,50740422180049,BAGUAL,GOBERNADOR DUPUY,6216
CAPS LOS OVEROS,SAN LUIS,50740422180120,LOS OVEROS,GOBERNADOR DUPUY,6389
CAPS MARTIN DE LOYOLA,SAN LUIS,50740422180124,MARTIN DE LOYOLA,GOBERNADOR DUPUY,6279
CAPS RENE FAVALORO (EX PIMPOLLO),SAN LUIS,50740352180147,VILLA MERCEDES,GENERAL PEDERNERA,5730
HOSPITAL DR. BRAULIO MOYANO,SAN LUIS,50740352180232,VILLA MERCEDES,GENERAL PEDERNERA,5700
SAPS BELLA ROSA,CORRIENTES,50180422139397,EMPEDRADO,EMPEDRADO,3418
CENTRO DE SALUD PAMPA CABRERA,CHACO,50220282126124,CHARATA,CHACABUCO,3730
CENTRO DE SALUD DR. LAUREANO R. MARADONA (LOTE 202),CHACO,50221402126208,RESISTENCIA,SAN FERNANDO,3500
CENTRO DE SALUD BARRIO GUIRALDES,CHACO,50221402126142,RESISTENCIA,SAN FERNANDO,3500
CAPS Nº 9 17 DE AGOSTO,CORRIENTES,50180212139119,CORRIENTES,CAPITAL,3400
PUESTO SANITARIO BETANIA,SALTA,50660492173321,CAMPO SANTO,GENERAL GÜEMES,4432
CENTRO DE SALUD  ANTENOR GAUNA,FORMOSA,50340142147091,FORMOSA,FORMOSA,3600
CENTRO DE SALUD  BERNARDINO RIVADAVIA,FORMOSA,50340142147093,FORMOSA,FORMOSA,3600
CAPS   CARLOS MARIO CASAGRANDE,ENTRE RÍOS,50300492142199,GUALEGUAY,GUALEGUAY,2840
CAPS   RUPERTO GONZALEZ,ENTRE RÍOS,50300492142419,EL PUEBLITO,GUALEGUAY,3151
RESIDENCIA GERIATRICA MAMINA,BUENOS AIRES,15060582305235,BERNAL OESTE,QUILMES,1876
HOGAR GERIATRICO SANTA CECILIA,BUENOS AIRES,15062602305237,MONTE GRANDE,ESTEBAN ECHEVERRÍA,1842
CENTRO DE SALUD BUENOS AIRES,CHUBUT,50260352129090,ESQUEL,FUTALEUFÚ,9200
CENTRO MEDICO ROCA - GRUPO ROCA,NEUQUÉN,50580562367144,SAN MARTIN DE LOS ANDES,LÁCAR,8370
CIPEC - CLINICA DE INTERNACIONES PSICOPATOLOGICAS Y DE ENFERMERDADES CRONICAS,NEUQUÉN,13580352367042,CENTENARIO,CONFLUENCIA,8309
CENTRO DE SALUD N° 28 DE LA PLATA,BUENOS AIRES,50064412201306,MANUEL B. GONNET,LA PLATA,1897
CENTRO DE SALUD N° 26 DE LA PLATA,BUENOS AIRES,50064412201301,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 24 DE LA PLATA,BUENOS AIRES,50064412201299,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 23 DE LA PLATA,BUENOS AIRES,50064412201296,LA PLATA,LA PLATA,1900
HOSPITAL DR. ELIAS ANNA,SALTA,10661262173026,COLONIA SANTA ROSA,ORÁN,4531
HOSPITAL DE LA UNION,SALTA,10661332173038,LA UNION,RIVADAVIA,4535
CENTRO DE SALUD N° 21 DE LA PLATA,BUENOS AIRES,50064412201291,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 20 DE LA PLATA,BUENOS AIRES,50064412201289,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 18 DE LA PLATA,BUENOS AIRES,50064412201285,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 17 DE LA PLATA,BUENOS AIRES,50064412201284,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 16 DE LA PLATA,BUENOS AIRES,50064412201283,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 15 DE LA PLATA,BUENOS AIRES,50064412201282,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 13 DE LA PLATA,BUENOS AIRES,50064412201280,LA PLATA,LA PLATA,1900
CENTRO DE SALUD N° 12 DE LA PLATA,BUENOS AIRES,50064412201279,LA PLATA,LA PLATA,1900
AXON,CHUBUT,52260772329307,TRELEW,RAWSON,9100
CARDIAL TRELEW,CHUBUT,52260772329309,TRELEW,RAWSON,9100
CEHTA CARDIOVASCULAR,CHUBUT,50260772329069,TRELEW,RAWSON,9100
CENTRO CARDIOLOGICO TRELEW,CHUBUT,50260772329073,TRELEW,RAWSON,9100
HOGAR GERIATRICO SAN SEBASTIAN,BUENOS AIRES,15060582305239,QUILMES,QUILMES,1878
CLINICA COMUNIDAD,BUENOS AIRES,13060352305241,VILLA DOMINICO,AVELLANEDA,1874
PUESTO SANITARIO CRUCECITAS (HOSP LORETO),SANTIAGO DEL ESTERO,50861052192252,VILLA SAN MARTIN,LORETO,4208
PUESTO SANITARIO ALBORADA - TREVELIN,CHUBUT,50260352129195,TREVELIN,FUTALEUFÚ,9203
HOSPITAL RURAL TREVELIN,CHUBUT,10260352129037,TREVELIN,FUTALEUFÚ,9203
HOSPITAL RURAL DOLAVON -  MARY JONES DE WILLIAMS,CHUBUT,10260422129029,DOLAVON,GAIMAN,9107
HOSPITAL RURAL GAIMAN,CHUBUT,10260422129022,GAIMAN,GAIMAN,9105
CAPS EL RINCON,SAN JUAN,50700072177127,EL RINCON,ALBARDÓN,5419
CAPS HIGUERILLAS (3),JUJUY,50380212150148,SAN SALVADOR DE JUJUY,DR. MANUEL BELGRANO,4600
CER INSTITUTO MEDICO,BUENOS AIRES,50060582303548,QUILMES,QUILMES,1878
CAPS DOMINGO RAMON CEJAS,SAN JUAN,50701262177114,VILLA SANTA ROSA,25 DE MAYO,5443
POLICLINICA GRUPO MEDICO DE REHABILITACION,BUENOS AIRES,50068612303550,MUNRO,VICENTE LÓPEZ,1605
CETRO - CENTRO DE TRAUMATOLOGIA Y REHABILITACION,CABA,50020012315913,COLEGIALES,COMUNA 13,1426
CENTRO MEDICO INTERNO DE INVISTA ARGENTINA SRL,BUENOS AIRES,50060912303552,BERAZATEGUI,BERAZATEGUI,1884
CENTRO ESPECIALIDADES EN TRASTORNOS DE LA CONDUCTA ALIMENTARIA EL COLIBRI,LA PAMPA,53420212353492,SANTA ROSA,CAPITAL,6300
CENTRO DE DIA TA.P.QUI.,BUENOS AIRES,52060582303593,VILLA LA FLORIDA,QUILMES,1878
CAPS DR. CARLOS BOUTHERY,SAN JUAN,50700632177115,LAS CHACRITAS,9 DE JULIO,5417
CENTRO INTERDISCIPLINARIO DE SALUD MENTAL,BUENOS AIRES,50063712303595,VILLA BALLESTER,GENERAL SAN MARTÍN,1653
CAPS EL BOSQUE,SAN JUAN,50700142177124,LAS TAPIAS,ANGACO,5439
CENTRO INFANTIL MEDICO DENTAL C.I.M.E.D.,LA PAMPA,50420212353496,SANTA ROSA,CAPITAL,6300
INSTITUTO DE LA MUJER CENTRO MEDICO SH,BUENOS AIRES,50061262303599,CAMPANA,CAMPANA,2804
COMPLEJO MEDICINA FISICA REHABILITACION SRL,BUENOS AIRES,52060352303601,WILDE,AVELLANEDA,1875
POSTA SAN ROQUE DE JACHAL,SAN JUAN,50700562177185,SAN JOSE DE JACHAL,JÁCHAL,5460
CAPS TUPELI,SAN JUAN,50701262177194,TUPELI,25 DE MAYO,5443
CENTRO INTEGRAL DE ATENCION LENFANT,LA PAMPA,50420212353498,SANTA ROSA,CAPITAL,6300
CAPS COCHAGUAL CENTRO,SAN JUAN,50701052177105,VILLA MEDIA AGUA,SARMIENTO,5435
CAPS COCHAGUAL NORTE,SAN JUAN,50701052177106,VILLA MEDIA AGUA,SARMIENTO,5435
CAPS GUANACACHE,SAN JUAN,50701052177133,GUANACACHE,SARMIENTO,5431
CAPS LA CILVICA,SAN JUAN,50701052177142,VILLA MEDIA AGUA,SARMIENTO,5435
CAPS MARAYES,SAN JUAN,50700352177156,MARAYES,CAUCETE,5446
CAPS MAURIN NAVARRO,SAN JUAN,50700772177161,VILLA KRAUSE,RAWSON,5425
PUESTO SANITARIO (BANDA RURAL SUR) SEÑORA PUJIO,SANTIAGO DEL ESTERO,50860352192611,LA BANDA,BANDA,4300
CENTRO INTEGRAL DE ODONTOLOGIA,LA PAMPA,50420212353502,SANTA ROSA,CAPITAL,6300
CENTRO INTEGRAL DE ODONTOLOGIA (OLIVER),LA PAMPA,50420212353504,SANTA ROSA,CAPITAL,6300
SISTEMA PRIVADO DE EMERGENCIAS MOVILES,BUENOS AIRES,53062522303609,BELEN DE ESCOBAR,ESCOBAR,1625
DISPENSARIO MUNICIPAL DE COLONIA VIGNAUD,CÓRDOBA,50141402231525,COLONIA VIGNAUD,SAN JUSTO,2420
DISPENSARIO MUNICIPAL CHAZON,CÓRDOBA,50140422231522,CHAZON,GENERAL SAN MARTÍN,2675
DISPENSARIO JUAN CARLOS GERONICO,CÓRDOBA,50140912231514,CASA GRANDE,PUNILLA,5162
DISPENSARIO MUNICIPAL DE AUSONIA DR. HILCIO WEIHMULLER,CÓRDOBA,50140422231524,AUSONIA,GENERAL SAN MARTÍN,5901
DISPENSARIO Nº 9 BARRIO LINIERS,CÓRDOBA,50141472231555,ALTA GRACIA,SANTA MARÍA,5186
DISPENSARIO Nº 11 BARRIO CAMARA,CÓRDOBA,50141472231552,ALTA GRACIA,SANTA MARÍA,5186
HOSPITAL SAN CARLOS,SALTA,10661542173034,SAN CARLOS,SAN CARLOS,4427
SALUD LABORAL QUILMES SRL,BUENOS AIRES,50060582303655,QUILMES,QUILMES,1878
DIAGNOSTICO MEDICO EZEIZA (DIME),BUENOS AIRES,51062702303859,JOSE MARIA EZEIZA,EZEIZA,1804
CENTRO MEDICO SAN ORIONE,BUENOS AIRES,50062742303861,FLORENCIO VARELA,FLORENCIO VARELA,1888
INSTITUTO DE INVESTIGACIONES CLINICAS QUILMES,BUENOS AIRES,50060582303863,QUILMES,QUILMES,1878
CONSULTORIOS EXTERNOS (PELLEGRINI 431),BUENOS AIRES,50060582303867,QUILMES,QUILMES,1878
HOSPITAL PRIVADO SANTA CLARA DE ASIS,SALTA,10660282373033,SALTA,CAPITAL,4400
CAPS BARRIO INDEPENDENCIA,SAN JUAN,50700912177092,SAN ISIDRO,SAN MARTÍN,5439
CAPS CENTRO DE ADIESTRAMIENTO DR. RENE FAVALORO,SAN JUAN,50700772177099,RAWSON,RAWSON,5425
CAPS CAMPO DE BATALLA,SAN JUAN,50700142177096,VILLA EL SALVADOR,ANGACO,5415
CEDITRIN - CENTRO DE DIAGNOSTICO Y TRATAMIENTO INTEGRAL,CABA,50020012315560,BALVANERA,COMUNA 3,1209
CENTRO INTEGRAL DE REHABILIATCION DEL AFASICO (CIRA),CABA,52020012315753,ALMAGRO,COMUNA 5,1177
CAPS   CARLOS ROCCA,ENTRE RÍOS,50300492142201,MONTE REDONDO,GUALEGUAY,2840
CAPS  ARTURO ILLIA,ENTRE RÍOS,50300772142172,CRUCESITAS 3° SECCIÓN,NOGOYÁ,3151
C.A.P.S.  GOBERNADOR LAURENCENA,ENTRE RÍOS,50300772142268,ARANGUREN,NOGOYÁ,3162
CAPS  FARM. JUAN H. GHIANO,ENTRE RÍOS,50300772142285,BETBEDER,NOGOYÁ,3156
CAPS  SERAFIN GUILLANI,ENTRE RÍOS,50300772142375,DON CRISTOBAL,NOGOYÁ,3192
CAPS  LUISA WEBER,ENTRE RÍOS,50300772142300,CRUCESITAS 8° SECCIÓN,NOGOYÁ,3177
CAPS   DR. PEDRO CAMET,ENTRE RÍOS,50300772142248,XX DE SETIEMBRE,NOGOYÁ,3158
CAPS   MADRE TERESA,ENTRE RÍOS,50300772142301,DISTRITO EL SAUCE,NOGOYÁ,3150
CAPS   ALEJANDRO FLEMING,ENTRE RÍOS,50301052142159,RINCON DE NOGOYA,VICTORIA,3155
CAPS HELENA DE ZABINSKY,ENTRE RÍOS,50301052142166,ANTELO,VICTORIA,3151
CAPS   DON CARLOS VIVANCO,ENTRE RÍOS,50301052242217,DISTRITO CHILCAS,VICTORIA,3162
CAPS   SIDNEY REES,ENTRE RÍOS,50301052142498,RINCON DE NOGOYA,VICTORIA,3155
CAPS   DR. CARLOS M. TOFALO,ENTRE RÍOS,50301132142227,LUCAS NORTE,VILLAGUAY,3241
CENTRO DE SALUD BARRIO MARIANO MORENO,SANTA FE,50821192284537,SAN LORENZO,SAN LORENZO,2200
MAMOTEST - SERVICIO DE MAMOGRAFIA,CHACO,51220212327354,PRESIDENCIA ROQUE SAENZ PENA,COMANDANTE FERNÁNDEZ,3700
CENTRO DE SALUD LA SARITA,SANTA FE,50820492184767,LA SARITA,GENERAL OBLIGADO,3563
CENTRO DE SALUD LAS GARZAS,SANTA FE,50820492184775,LAS GARZAS,GENERAL OBLIGADO,3574
CENTRO DE SALUD PUERTO RECONQUISTA,SANTA FE,50820492184909,PUERTO RECONQUISTA,GENERAL OBLIGADO,3567
CENTRO DE SALUD BARRIO LA CORTADA,SANTA FE,50820492184530,RECONQUISTA,GENERAL OBLIGADO,3560
CENTRO DE SALUD DR. JORGE CANIZA,SANTA FE,50820492184651,TACUARENDI,GENERAL OBLIGADO,3587
CENTRO DE SALUD LA RESERVA,SANTA FE,50820492184763,LA RESERVA,GENERAL OBLIGADO,3581
CENTRO DE SALUD BERNA,SANTA FE,50820492184576,BERNA,GENERAL OBLIGADO,3569
